qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-001,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-002,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-003,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-004,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-005,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-006,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-007,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250226-008,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250226-009,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250226-010,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250226-011,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250226-012,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250226-013,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250226-014,LUNCH,20250226
QBXSHO,a2bMntRd,SWG,1,1,ORDER_250226,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250226-015,LUNCH,20250226
