qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-001,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-002,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-003,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-004,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-005,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-006,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-007,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-008,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-009,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-010,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-011,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-012,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-013,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-014,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-015,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-016,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-017,LUNCH,20250301
QBXSHO,a2bMntRd,SWG,1,1,ORDER_5,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250301-018,LUNCH,20250301
