qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-001,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-002,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-003,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-004,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-005,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-006,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-007,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-008,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-009,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SIVM,QBXSHO-SWG-a2bMntRd-SIVM-20250303-010,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-011,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-012,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-013,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-014,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-015,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-016,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-017,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-018,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-019,LUNCH,20250303
QBXSHO,a2bMntRd,SWG,1,1,ORDER_50,SMBR,QBXSHO-SWG-a2bMntRd-SMBR-20250303-020,LUNCH,20250303
