qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_10711,SIVM,1MAA-SWG-A2B-SIVM-30250127-251-01,LUNCH,20250127
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_10711,SIVM,1MAA-SWG-A2B-SIVM-30250127-251-02,LUNCH,20250127
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_10711,CHB,1MAA-SWG-A2B-CHB-30250127-251-02,LUNCH,20250127
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_10711,CHB,1MAA-SWG-A2B-CHB-30250127-251-03,LUNCH,20250127
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_10711,MB,1MAA-SWG-A2B-MB-30250127-251-04,LUNCH,20250127
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_10711,MB,1MAA-SWG-A2B-MB-30250127-251-05,LUNCH,20250127
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_20711,SIVM,1MAA-SWG-A2B-SIVM-0250127-251-06,LUNCH,20250127
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_20711,SIVM,1MAA-SWG-A2B-SIVM-30250127-251-07,LUNCH,20250127
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_20711,CHB,1MAA-SWG-A2B-CHB-30250127-251-08,LUNCH,20250127
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_20711,CHB,1MAA-SWG-A2B-CHB-30250127-251-09,LUNCH,20250127
QBXADY,SRRCHB,SWG,1,1,SWIGGY_20711,MB,1MAA-SWG-A2B-MB-30250127-251-10,LUNCH,20250127
QBXADY,SRRCHB,SWG,1,1,SWIGGY_20711,MB,1MAA-SWG-A2B-MB-30250127-251-11,LUNCH,20250127
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_30711,SIVM,1MAA-SWG-A2B-SIVM-30250127-251-12,LUNCH,20250127
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_30711,SIVM,1MAA-SWG-A2B-SIVM-30250127-251-13,LUNCH,20250127
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_30711,CHB,1MAA-SWG-A2B-CHB-30250127-251-14,LUNCH,20250127
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_30711,CHB,1MAA-SWG-A2B-CHB-30250127-251-15,LUNCH,20250127
QBXSH,SRRCHB,SWG,1,1,SWIGGY_30711,MB,1MAA-SWG-A2B-MB-30250127-251-16,LUNCH,20250127
QBXSH,SRRCHB,SWG,1,1,SWIGGY_30711,MB,1MAA-SWG-A2B-MB-30250127-251-17,LUNCH,20250127
