qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-100,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-200,LUNCH,20250110
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-300,LUNCH,20250110
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-400,LUNCH,20250110
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-500,LUNCH,20250110
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-600,LUNCH,20250110
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_2711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-700,LUNCH,20250110
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_2711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-800,LUNCH,20250110
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_2711,CHB,1MAA-SWG-A2B-CHB-202501123-251-900,LUNCH,20250110
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_2711,CHB,1MAA-SWG-A2B-CHB-202501123-251-1000,LUNCH,20250110
QBXADY,SRRCHB,SWG,1,1,SWIGGY_2711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-1100,LUNCH,20250110
QBXADY,SRRCHB,SWG,1,1,SWIGGY_2711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-1200,LUNCH,20250110
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_3711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-1300,LUNCH,20250110
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_3711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-1400,LUNCH,20250110
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_3711,CHB,1MAA-SWG-A2B-CHB-202501123-251-1500,LUNCH,20250110
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_3711,CHB,1MAA-SWG-A2B-CHB-202501123-251-1300,LUNCH,20250110
QBXSH,SRRCHB,SWG,1,1,SWIGGY_3711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-1400,LUNCH,20250110
QBXSH,SRRCHB,SWG,1,1,SWIGGY_3711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-1600,LUNCH,20250110
