qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-1,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-2,LUNCH,20250110
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-3,LUNCH,20250110
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-4,LUNCH,20250110
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-5,LUNCH,20250110
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-6,LUNCH,20250110
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-7,LUNCH,20250110
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-8,LUNCH,20250110
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-9,LUNCH,20250110
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-10,LUNCH,20250110
QBXADY,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-11,LUNCH,20250110
QBXADY,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-12,LUNCH,20250110
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-13,LUNCH,20250110
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_1711,SIVM,1MAA-SWG-A2B-SIVM-202501123-251-14,LUNCH,20250110
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-15,LUNCH,20250110
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_1711,CHB,1MAA-SWG-A2B-CHB-202501123-251-13,LUNCH,20250110
QBXSH,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-14,LUNCH,20250110
QBXSH,SRRCHB,SWG,1,1,SWIGGY_1711,SMBR,1MAA-SWG-A2B-SMBR-202501123-251-15,LUNCH,20250110
