qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_110291,SIVM,1MAA-SWG-A2B-SIVM-231891-251-01,LUNCH,20250127
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_110291,SIVM,1MAA-SWG-A2B-SIVM-231891-251-02,LUNCH,20250127
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_110191,CHB,1MAA-SWG-A2B-CHB-231891-251-02,LUNCH,20250127
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_110191,CHB,1MAA-SWG-A2B-CHB-231891-251-03,LUNCH,20250127
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_110391,MB,1MAA-SWG-A2B-MB-231891-251-04,LUNCH,20250127
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_110391,MB,1MAA-SWG-A2B-MB-231891-251-05,LUNCH,20250127
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_30291,SIVM,1MAA-SWG-A2B-SIVM-231891-251-06,LUNCH,20250127
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_30291,SIVM,1MAA-SWG-A2B-SIVM-231891-251-07,LUNCH,20250127
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_380391,CHB,1MAA-SWG-A2B-CHB-231891-251-08,LUNCH,20250127
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_380391,CHB,1MAA-SWG-A2B-CHB-231891-251-09,LUNCH,20250127
QBXADY,SRRCHB,SWG,1,1,SWIGGY_480491,MB,1MAA-SWG-A2B-MB-231891-251-10,LUNCH,20250127
QBXADY,SRRCHB,SWG,1,1,SWIGGY_480491,MB,1MAA-SWG-A2B-MB-231891-251-11,LUNCH,20250127
QBXS30,a2bMntRd,SWG,1,1,SWIGGY_581287,SIVM,1MAA-SWG-A2B-SIVM-231891-251-12,LUNCH,20250127
QBXS30,a2bMntRd,SWG,1,1,SWIGGY_581287,SIVM,1MAA-SWG-A2B-SIVM-231891-251-13,LUNCH,20250127
QBXS30,CHBMntRd,SWG,1,1,SWIGGY_681387,CHB,1MAA-SWG-A2B-CHB-231891-251-14,LUNCH,20250127
QBXS30,CHBMntRd,SWG,1,1,SWIGGY_681387,CHB,1MAA-SWG-A2B-CHB-231891-251-15,LUNCH,20250127
QBXS30,SRRCHB,SWG,1,1,SWIGGY_781487,MB,1MAA-SWG-A2B-MB-231891-251-16,LUNCH,20250127
QBXS30,SRRCHB,SWG,1,1,SWIGGY_781487,MB,1MAA-SWG-A2B-MB-231891-251-17,LUNCH,20250127
