qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_0001,SIVM,1MAA-SWG-A2B-SIVM-20250218-251-011,LUNCH,20250218
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_0001,SIVM,1MAA-SWG-A2B-SIVM-20250218-251-021,LUNCH,20250218
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_0001,CHB,1MAA-SWG-A2B-CHB-20250218-251-021,LUNCH,20250218
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_0001,CHB,1MAA-SWG-A2B-CHB-20250218-251-031,LUNCH,20250218
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_0001,MB,1MAA-SWG-A2B-MB-20250218-251-041,LUNCH,20250218
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_0001,MB,1MAA-SWG-A2B-MB-20250218-251-051,LUNCH,20250218
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_0002,SIVM,1MAA-SWG-A2B-SIVM-20250218-251-061,LUNCH,20250218
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_0002,SIVM,1MAA-SWG-A2B-SIVM-20250218-251-071,LUNCH,20250218
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_0002,CHB,1MAA-SWG-A2B-CHB-20250218-251-081,LUNCH,20250218
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_0002,CHB,1MAA-SWG-A2B-CHB-20250218-251-091,LUNCH,20250218
QBXADY,SRRCHB,SWG,1,1,SWIGGY_0002,MB,1MAA-SWG-A2B-MB-20250218-251-101,LUNCH,20250218
QBXADY,SRRCHB,SWG,1,1,SWIGGY_0002,MB,1MAA-SWG-A2B-MB-20250218-251-111,LUNCH,20250218
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_0003,SIVM,1MAA-SWG-A2B-SIVM-20250218-251-121,LUNCH,20250218
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_0003,SIVM,1MAA-SWG-A2B-SIVM-20250218-251-131,LUNCH,20250218
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_0003,CHB,1MAA-SWG-A2B-CHB-20250218-251-141,LUNCH,20250218
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_0003,CHB,1MAA-SWG-A2B-CHB-20250218-251-151,LUNCH,20250218
QBXSH,SRRCHB,SWG,1,1,SWIGGY_0003,MB,1MAA-SWG-A2B-MB-20250218-251-161,LUNCH,20250218
QBXSH,SRRCHB,SWG,1,1,SWIGGY_0003,MB,1MAA-SWG-A2B-MB-20250218-251-171,LUNCH,20250218
