qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_030291,SIVM,1MAA-SWG-A2B-SIVM-030291-251-01,LUNCH,20250127
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_030291,SIVM,1MAA-SWG-A2B-SIVM-030291-251-02,LUNCH,20250127
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_030291,CHB,1MAA-SWG-A2B-CHB-030291-251-02,LUNCH,20250127
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_030291,CHB,1MAA-SWG-A2B-CHB-030291-251-03,LUNCH,20250127
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_030291,MB,1MAA-SWG-A2B-MB-030291-251-04,LUNCH,20250127
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_030291,MB,1MAA-SWG-A2B-MB-030291-251-05,LUNCH,20250127
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_180291,SIVM,1MAA-SWG-A2B-SIVM-030291-251-06,LUNCH,20250127
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_180291,SIVM,1MAA-SWG-A2B-SIVM-030291-251-07,LUNCH,20250127
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_180291,CHB,1MAA-SWG-A2B-CHB-030291-251-08,LUNCH,20250127
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_180291,CHB,1MAA-SWG-A2B-CHB-030291-251-09,LUNCH,20250127
QBXADY,SRRCHB,SWG,1,1,SWIGGY_180291,MB,1MAA-SWG-A2B-MB-030291-251-10,LUNCH,20250127
QBXADY,SRRCHB,SWG,1,1,SWIGGY_180291,MB,1MAA-SWG-A2B-MB-030291-251-11,LUNCH,20250127
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_281287,SIVM,1MAA-SWG-A2B-SIVM-030291-251-12,LUNCH,20250127
QBXSH,a2bMntRd,SWG,1,1,SWIGGY_281287,SIVM,1MAA-SWG-A2B-SIVM-030291-251-13,LUNCH,20250127
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_281287,CHB,1MAA-SWG-A2B-CHB-030291-251-14,LUNCH,20250127
QBXSH,CHBMntRd,SWG,1,1,SWIGGY_281287,CHB,1MAA-SWG-A2B-CHB-030291-251-15,LUNCH,20250127
QBXSH,SRRCHB,SWG,1,1,SWIGGY_281287,MB,1MAA-SWG-A2B-MB-030291-251-16,LUNCH,20250127
QBXSH,SRRCHB,SWG,1,1,SWIGGY_281287,MB,1MAA-SWG-A2B-MB-030291-251-17,LUNCH,20250127
