qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_23451,SIVM,1MAA-SWG-A2B-SIVM-231792-251-01,LUNCH,20250214
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_23451,SIVM,1MAA-SWG-A2B-SIVM-231792-251-02,LUNCH,20250214
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_23452,CHB,1MAA-SWG-A2B-CHB-231792-251-02,LUNCH,20250214
QBXNGM,CHBMntRd,SWG,1,1,SWIGGY_23452,CHB,1MAA-SWG-A2B-CHB-231792-251-03,LUNCH,20250214
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_23453,MB,1MAA-SWG-A2B-MB-231792-251-04,LUNCH,20250214
QBXNGM,SRRCHB,SWG,1,1,SWIGGY_23453,MB,1MAA-SWG-A2B-MB-231792-251-05,LUNCH,20250214
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_23454,SIVM,1MAA-SWG-A2B-SIVM-231792-251-06,LUNCH,20250214
QBXADY,a2bMntRd,SWG,1,1,SWIGGY_23454,SIVM,1MAA-SWG-A2B-SIVM-231792-251-07,LUNCH,20250214
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_23455,CHB,1MAA-SWG-A2B-CHB-231792-251-08,LUNCH,20250214
QBXADY,CHBMntRd,SWG,1,1,SWIGGY_23455,CHB,1MAA-SWG-A2B-CHB-231792-251-09,LUNCH,20250214
QBXADY,SRRCHB,SWG,1,1,SWIGGY_23457,MB,1MAA-SWG-A2B-MB-231792-251-10,LUNCH,20250214
QBXADY,SRRCHB,SWG,1,1,SWIGGY_23457,MB,1MAA-SWG-A2B-MB-231792-251-11,LUNCH,20250214
QBXS30,a2bMntRd,SWG,1,1,SWIGGY_23458,SIVM,1MAA-SWG-A2B-SIVM-231792-251-12,LUNCH,20250214
QBXS30,a2bMntRd,SWG,1,1,SWIGGY_23458,SIVM,1MAA-SWG-A2B-SIVM-231792-251-13,LUNCH,20250214
QBXS30,CHBMntRd,SWG,1,1,SWIGGY_23459,CHB,1MAA-SWG-A2B-CHB-231792-251-14,LUNCH,20250214
QBXS30,CHBMntRd,SWG,1,1,SWIGGY_23459,CHB,1MAA-SWG-A2B-CHB-231792-251-15,LUNCH,20250214
QBXS30,SRRCHB,SWG,1,1,SWIGGY_234510,MB,1MAA-SWG-A2B-MB-231792-251-16,LUNCH,20250214
QBXS30,SRRCHB,SWG,1,1,SWIGGY_234510,MB,1MAA-SWG-A2B-MB-231792-251-17,LUNCH,20250214
