qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SIVM,1MAA-SWG-A2B-SIVM-202405105-111-323,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SIVM,1MAA-SWG-A2B-SIVM-202405105-111-324,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SIVM,1MAA-SWG-A2B-SIVM-202405105-111-325,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SIVM,1MAA-SWG-A2B-SIVM-202405105-111-326,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SIVM,1MAA-SWG-A2B-SIVM-202405105-111-327,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SIVM,1MAA-SWG-A2B-SIVM-202405105-111-328,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SIVM,1MAA-SWG-A2B-SIVM-202405105-111-329,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-330,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-331,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-332,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-333,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-334,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-335,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-336,LUNCH,20250221
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_100391,SMBR,1MAA-SWG-A2B-SMBR-202405105-111-337,LUNCH,20250221
