qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SIVM,1MAA-SWG-A2B-QBXADR-SIVM-202405105-951-311,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SIVM,1MAA-SWG-A2B-QBXADR-SIVM-202405105-951-321,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SIVM,1MAA-SWG-A2B-QBXADR-SIVM-202405105-951-331,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SIVM,1MAA-SWG-A2B-QBXADR-SIVM-202405105-951-332,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SMBR,1MAA-SWG-A2B-QBXADR-SMBR-202405105-951-341,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SMBR,1MAA-SWG-A2B-QBXADR-SMBR-202405105-951-351,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SMBR,1MAA-SWG-A2B-QBXADR-SMBR-202405105-951-361,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,SMBR,1MAA-SWG-A2B-QBXADR-SMBR-202405105-951-371,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,PASTA,1MAA-SWG-A2B-QBXADR-PASTA-202405105-951-371,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,PASTA,1MAA-SWG-A2B-QBXADR-PASTA-202405105-951-311,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,PASTA,1MAA-SWG-A2B-QBXADR-PASTA-202405105-951-321,LUNCH,20250110
QBXADR,a2bMntRd,SWG,1,1,SWIGGY_1561711,PASTA,1MAA-SWG-A2B-QBXADR-PASTA-202405105-951-331,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,SIVM,1MAA-SWG-A2B-QBXNGM-SIVM-202405105-951-341,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,SIVM,1MAA-SWG-A2B-QBXNGM-SIVM-202405105-951-351,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,SIVM,1MAA-SWG-A2B-QBXNGM-SIVM-202405105-951-361,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,SIVM,1MAA-SWG-A2B-QBXNGM-SIVM-202405105-951-371,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,SMBR,1MAA-SWG-A2B-QBXNGM-SMBR-202405105-951-311,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,SMBR,1MAA-SWG-A2B-QBXNGM-SMBR-202405105-951-321,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,SMBR,1MAA-SWG-A2B-QBXNGM-SMBR-202405105-951-331,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,PASTA,1MAA-SWG-A2B-QBXNGM-PASTA-202405105-951-341,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,PASTA,1MAA-SWG-A2B-QBXNGM-PASTA-202405105-951-351,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,PASTA,1MAA-SWG-A2B-QBXNGM-PASTA-202405105-951-361,LUNCH,20250110
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_2561721,PASTA,1MAA-SWG-A2B-QBXNGM-PASTA-202405105-951-371,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,SIVM,1MAA-SWG-A2B-QBXSHO-SIVM-202405105-951-311,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,SIVM,1MAA-SWG-A2B-QBXSHO-SIVM-202405105-951-321,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,SIVM,1MAA-SWG-A2B-QBXSHO-SIVM-202405105-951-331,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,SMBR,1MAA-SWG-A2B-QBXSHO-SMBR-202405105-951-341,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,SMBR,1MAA-SWG-A2B-QBXSHO-SMBR-202405105-951-351,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,PASTA,1MAA-SWG-A2B-QBXSHO-PASTA-202405105-951-371,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,PASTA,1MAA-SWG-A2B-QBXSHO-PASTA-202405105-951-311,LUNCH,20250110
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_361731,PASTA,1MAA-SWG-A2B-QBXSHO-PASTA-202405105-951-321,LUNCH,20250110

