qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SIVM,QBXNGM-SWG-a2bMntRd-SIVM-20250111-201,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SIVM,QBXNGM-SWG-a2bMntRd-SIVM-20250111-202,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SIVM,QBXNGM-SWG-a2bMntRd-SIVM-20250111-203,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SIVM,QBXNGM-SWG-a2bMntRd-SIVM-20250111-204,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SIVM,QBXNGM-SWG-a2bMntRd-SIVM-20250111-205,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SIVM,QBXNGM-SWG-a2bMntRd-SIVM-20250111-206,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SMBR,QBXNGM-SWG-a2bMntRd-SMBR-20250111-207,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SMBR,QBXNGM-SWG-a2bMntRd-SMBR-20250111-208,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SMBR,QBXNGM-SWG-a2bMntRd-SMBR-20250111-209,LUNCH,20250211
QBXNGM,a2bMntRd,SWG,1,1,ORDER_2661,SMBR,QBXNGM-SWG-a2bMntRd-SMBR-20250111-210,LUNCH,20250211
QBXNGM,CHBMntRd,SWG,1,1,ORDER_2662,CHB,QBXNGM-SWG-CHBMntRd-CHB-20250111-201,LUNCH,20250211
QBXNGM,CHBMntRd,SWG,1,1,ORDER_2662,CHB,QBXNGM-SWG-CHBMntRd-CHB-20250111-202,LUNCH,20250211
QBXNGM,CHBMntRd,SWG,1,1,ORDER_2662,CHB,QBXNGM-SWG-CHBMntRd-CHB-20250111-203,LUNCH,20250211
QBXNGM,CHBMntRd,SWG,1,1,ORDER_2662,CHB,QBXNGM-SWG-CHBMntRd-CHB-20250111-204,LUNCH,20250211
QBXNGM,CHBMntRd,SWG,1,1,ORDER_2662,CHB,QBXNGM-SWG-CHBMntRd-CHB-20250111-205,LUNCH,20250211
QBXNGM,CHBMntRd,SWG,1,1,ORDER_2662,CHB,QBXNGM-SWG-CHBMntRd-CHB-20250111-206,LUNCH,20250211
QBXSH,CHBMntRd,SWG,1,1,ORDER_2678,CHB,QBXSH-SWG-CHBMntRd-CHB-20250111-201,LUNCH,20250211
QBXSH,CHBMntRd,SWG,1,1,ORDER_2678,CHB,QBXSH-SWG-CHBMntRd-CHB-20250111-202,LUNCH,20250211
QBXSH,CHBMntRd,SWG,1,1,ORDER_2678,CHB,QBXSH-SWG-CHBMntRd-CHB-20250111-203,LUNCH,20250211
QBXSH,CHBMntRd,SWG,1,1,ORDER_2678,CHB,QBXSH-SWG-CHBMntRd-CHB-20250111-204,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SIVM,QBXSH-SWG-a2bMntRd-SIVM-20250111-201,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SIVM,QBXSH-SWG-a2bMntRd-SIVM-20250111-202,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SIVM,QBXSH-SWG-a2bMntRd-SIVM-20250111-203,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SIVM,QBXSH-SWG-a2bMntRd-SIVM-20250111-204,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SIVM,QBXSH-SWG-a2bMntRd-SIVM-20250111-205,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SIVM,QBXSH-SWG-a2bMntRd-SIVM-20250111-206,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SMBR,QBXSH-SWG-a2bMntRd-SMBR-20250111-207,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SMBR,QBXSH-SWG-a2bMntRd-SMBR-20250111-208,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SMBR,QBXSH-SWG-a2bMntRd-SMBR-20250111-209,LUNCH,20250211
QBXSH,a2bMntRd,SWG,1,1,ORDER_1666,SMBR,QBXSH-SWG-a2bMntRd-SMBR-20250111-210,LUNCH,20250211
