orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-001-26,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-002-27,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-003-28,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-004-29,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-005-30,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-006-31,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-007-32,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-008-33,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-009-34,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-010-35,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_56
