qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-21
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-22
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-23
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-24
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-25
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-26
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-27
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-28
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-29
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-210
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-211
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-212
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-213
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-214
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_673567,SIVM,MAA-SWG-A2B-SIVM-20240505-95-215
