qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-1
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-2
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-3
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-4
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-5
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-6
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-7
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-8
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-9
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-10
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-11
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-12
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-13
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_17356,SIVM,MAA-SWG-A2B-SIVM-20240505-15-14
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-15
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-16
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-17
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-18
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-19
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-20
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-21
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-22
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-23
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-24
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-25
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-26
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-27
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-28
QBXSHO,a2bMntRd,SWG,1,1,SWIGGY_27356,SIVM,MAA-SWG-A2B-SIVM-20240505-25-29
