orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXSHO-SWG-CHBMntRd-CHB-20250308-001,SWG,LUNCH,1,CHBMntRd,CHB,QBXSHO,20250308,ORDER_113
1,QBXSHO-SWG-CHBMntRd-CHB-20250308-002,SWG,LUNCH,1,CHBMntRd,CHB,QBXSHO,20250308,ORDER_113
1,QBXSHO-SWG-CHBMntRd-CHB-20250308-003,SWG,LUNCH,1,CHBMntRd,CHB,QBXSHO,20250308,ORDER_113
1,QBXSHO-SWG-CHBMntRd-CHB-20250308-004,SWG,LUNCH,1,CHBMntRd,CHB,QBXSHO,20250308,ORDER_113
1,QBXSHO-SWG-CHBMntRd-CHB-20250308-005,SWG,LUNCH,1,CHBMntRd,CHB,QBXSHO,20250308,ORDER_113
1,QBXSHO-SWG-SRRCHB-MB-20250308-006,SWG,LUNCH,1,SRRCHB,MB,QBXSHO,20250308,ORDER_114
1,QBXSHO-SWG-SRRCHB-MB-20250308-007,SWG,LUNCH,1,SRRCHB,MB,QBXSHO,20250308,ORDER_114
1,QBXSHO-SWG-SRRCHB-MB-20250308-008,SWG,LUNCH,1,SRRCHB,MB,QBXSHO,20250308,ORDER_114
1,QBXSHO-SWG-SRRCHB-MB-20250308-009,SWG,LUNCH,1,SRRCHB,MB,QBXSHO,20250308,ORDER_114
1,QBXSHO-SWG-SRRCHB-MB-20250308-010,SWG,LUNCH,1,SRRCHB,MB,QBXSHO,20250308,ORDER_114
1,QBXSHO-SWG-a2bMntRd-SIVM-20250308-011,SWG,LUNCH,1,a2bMntRd,SIVM,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SIVM-20250308-012,SWG,LUNCH,1,a2bMntRd,SIVM,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SIVM-20250308-013,SWG,LUNCH,1,a2bMntRd,SIVM,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SIVM-20250308-014,SWG,LUNCH,1,a2bMntRd,SIVM,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SIVM-20250308-015,SWG,LUNCH,1,a2bMntRd,SIVM,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SMBR-20250308-016,SWG,LUNCH,1,a2bMntRd,SMBR,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SMBR-20250308-017,SWG,LUNCH,1,a2bMntRd,SMBR,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SMBR-20250308-018,SWG,LUNCH,1,a2bMntRd,SMBR,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SMBR-20250308-019,SWG,LUNCH,1,a2bMntRd,SMBR,QBXSHO,20250308,ORDER_115
1,QBXSHO-SWG-a2bMntRd-SMBR-20250308-020,SWG,LUNCH,1,a2bMntRd,SMBR,QBXSHO,20250308,ORDER_115
