orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-001-7068,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-002-7069,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-003-7070,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-004-7071,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-005-7072,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-006-7073,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-007-7074,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-008-7075,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-009-7076,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-010-7077,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-011-7078,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-012-7079,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-013-7080,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-014-7081,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-015-7082,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-016-7083,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-017-7084,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-018-7085,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-019-7086,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-SMSHOL-BCGR-20250610-020-7087,SWG,LUNCH,1,SMSHOL,BCGR,QBXSHO,20250610,ORDER_484
1,QBXSHO-SWG-BLSHO-BLVB-20250610-021-7088,SWG,LUNCH,1,BLSHO,BLVB,QBXSHO,20250610,ORDER_485
1,QBXSHO-SWG-BLSHO-BLVB-20250610-022-7089,SWG,LUNCH,1,BLSHO,BLVB,QBXSHO,20250610,ORDER_485
1,QBXSHO-SWG-BLSHO-BLVB-20250610-023-7090,SWG,LUNCH,1,BLSHO,BLVB,QBXSHO,20250610,ORDER_485
1,QBXSHO-SWG-BLSHO-BLVB-20250610-024-7091,SWG,LUNCH,1,BLSHO,BLVB,QBXSHO,20250610,ORDER_485
1,QBXSHO-SWG-BLSHO-BLVB-20250610-025-7092,SWG,LUNCH,1,BLSHO,BLVB,QBXSHO,20250610,ORDER_485
1,QBXSHO-SWG-BLSHO-BLVB-20250610-026-7093,SWG,LUNCH,1,BLSHO,BLVB,QBXSHO,20250610,ORDER_485
