orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-001-6,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-002-7,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-003-8,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-004-9,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-005-10,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-006-11,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-007-12,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-008-13,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-009-14,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-a2bMntRd-SIVM-20250310-010-15,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250310,ORDER_54
1,QBXNGM-SWG-MEALONE-CHFR-20250310-011-16,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-012-17,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-013-18,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-014-19,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-015-20,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-016-21,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-017-22,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-018-23,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-019-24,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
1,QBXNGM-SWG-MEALONE-CHFR-20250310-020-25,SWG,LUNCH,1,MEALONE,CHFR,QBXNGM,20250310,ORDER_55
