orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-001-19799,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-002-19800,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-003-19801,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-004-19802,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-005-19803,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-006-19804,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-007-19805,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-008-19806,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-009-19807,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-LUNCHBOX-LBRC-20250725-010-19808,SWG,LUNCH,1,LUNCHBOX,LBRC,QBSHN,20250725,ORDER_1373
1,QBSHN-SWG-MEALONE-PNPFR-20250725-011-19809,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-012-19810,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-013-19811,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-014-19812,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-015-19813,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-016-19814,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-017-19815,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-018-19816,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-019-19817,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-MEALONE-PNPFR-20250725-020-19818,SWG,LUNCH,1,MEALONE,PNPFR,QBSHN,20250725,ORDER_1374
1,QBSHN-SWG-GB543-Veg Thali-20250725-021-19819,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-022-19820,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-023-19821,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-024-19822,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-025-19823,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-026-19824,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-027-19825,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-028-19826,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-029-19827,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
1,QBSHN-SWG-GB543-Veg Thali-20250725-030-19828,SWG,LUNCH,1,GB543,Veg Thali,QBSHN,20250725,ORDER_1375
