orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-001-19729,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-002-19730,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-003-19731,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-004-19732,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-005-19733,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-006-19734,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-007-19735,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-008-19736,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-009-19737,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
1,QBXNGM-SWG-a2bMntRd-SIVM-20250725-010-19738,SWG,LUNCH,1,a2bMntRd,SIVM,QBXNGM,20250725,ORDER_1366
