orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-001-509,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-002-510,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-003-511,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-004-512,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-005-513,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-006-514,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-007-515,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-008-516,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-009-517,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-GOODBOWL-GBCHB-20250524-010-518,SWG,LUNCH,1,GOODBOWL,GBCHB,QBXSHO,20250524,ORDER_117
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-011-519,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-012-520,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-013-521,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-014-522,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-015-523,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-016-524,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-017-525,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-018-526,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-019-527,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBXSHO-SWG-DTHALA-TALAMS-20250524-020-528,SWG,LUNCH,1,DTHALA,TALAMS,QBXSHO,20250524,ORDER_118
1,QBSHN-SWG-KFC234-KF123-20250524-021-529,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-022-530,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-023-531,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-024-532,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-025-533,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-026-534,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-027-535,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-028-536,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-029-537,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-030-538,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-031-539,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-032-540,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-033-541,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-034-542,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
1,QBSHN-SWG-KFC234-KF123-20250524-035-543,SWG,LUNCH,1,KFC234,KF123,QBSHN,20250524,ORDER_119
