orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXNGM-SWG-GEET-GEEMK-20250524-001-449,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-002-450,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-003-451,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-004-452,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-005-453,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-006-454,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-007-455,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-008-456,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-009-457,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-GEET-GEEMK-20250524-010-458,SWG,LUNCH,1,GEET,GEEMK,QBXNGM,20250524,ORDER_112
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-011-459,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-012-460,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-013-461,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-014-462,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-015-463,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-016-464,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-017-465,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-018-466,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-019-467,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-020-468,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-021-469,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-022-470,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-023-471,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-024-472,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-025-473,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-026-474,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-027-475,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-028-476,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-029-477,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXNGM-SWG-SEASHELL-SSCCC-20250524-030-478,SWG,LUNCH,1,SEASHELL,SSCCC,QBXNGM,20250524,ORDER_113
1,QBXA20-SWG-SMSHOL-BCGR-20250524-031-479,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-032-480,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-033-481,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-034-482,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-035-483,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-036-484,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-037-485,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-038-486,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-039-487,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-SMSHOL-BCGR-20250524-040-488,SWG,LUNCH,1,SMSHOL,BCGR,QBXA20,20250524,ORDER_114
1,QBXA20-SWG-DIETC-DIETCC-20250524-041-489,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-042-490,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-043-491,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-044-492,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-045-493,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-046-494,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-047-495,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-048-496,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-049-497,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXA20-SWG-DIETC-DIETCC-20250524-050-498,SWG,LUNCH,1,DIETC,DIETCC,QBXA20,20250524,ORDER_115
1,QBXT20-SWG-MR234-MR123-20250524-051-499,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-052-500,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-053-501,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-054-502,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-055-503,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-056-504,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-057-505,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-058-506,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-059-507,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
1,QBXT20-SWG-MR234-MR123-20250524-060-508,SWG,LUNCH,1,MR234,MR123,QBXT20,20250524,ORDER_116
