orderedBy,uniqueCode,partnerCode,mealTimeCode,orderStatusCd,restaurantCode,partnerFoodCode,qboxRemoteLocation,foodTransactionDate,partnerPurchaseOrderId
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-001-12883,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-002-12884,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-003-12885,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-004-12886,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-005-12887,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-006-12888,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-007-12889,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-008-12890,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-009-12891,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
1,QBXSHO-SWG-SANGSHOL-SSR-20250616-010-12892,SWG,LUNCH,1,SANGSHOL,SSR,QBXSHO,20250616,ORDER_684
