qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-2024sd05105-9251-211,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-2024051assa05-9251-221,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-20240sas5105-9251-231,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-20asas2405105-9251-232,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-20240asasa5105-9251-241,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-202405ass105-9251-251,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-20240ssasas5105-9251-261,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-20assa2405105-9251-271,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-202asas405105-9251-271,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-2024as05105-9251-211,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-2024assass05105-9251-221,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-2asas02405105-9251-231,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-2asas02405105-9251-241,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-202as405105-9251-251,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-2as02405105-9251-261,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-20sasas2405105sda-9251-271,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-20ass2405105-9251-211,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-202asdcfds4sda05105-9251-221,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-202405105-9251-231,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-20240dadassd5105-9251-241,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-20240ad5105-9251-251,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-202405asdsad105-9251-261,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-202405asdsad105-9251-271,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-20240sdsad5105-sad9251-211,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-202405asdd105-9251-221,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SIVM,1MAA-ZOM-A2B-QBXT20-SIVM-20240sda5105-9251-231,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-202405adasd105-9251-241,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,SMBR,1MAA-ZOM-A2B-QBXT20-SMBR-202405asd105-9251-251,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-202405adasd105-9251-271,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-202405qqewqeqw105-9251-211,LUNCH,20250131
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_310391,PASTA,1MAA-ZOM-A2B-QBXT20-PASTA-202405asdd105-9251-221,LUNCH,20250131
