qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-2024sd05105-9251-411,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-2024051assa05-9251-421,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-20240sas5105-9251-431,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-20asas2405105-9251-432,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-20240asasa5105-9251-441,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-202405ass105-9251-451,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-20240ssasas5105-9251-461,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-20assa2405105-9251-471,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-202asas405105-9251-471,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-2024as05105-9251-411,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-2024assass05105-9251-21,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-2asas02405105-9251-431,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-2asas02405105-9251-441,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-202as405105-9251-451,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-2as02405105-9251-461,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-20sasas2405105sda-9251-471,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-20ass2405105-9251-411,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-202asdcfds4sda05105-9251-421,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-202405105-9251-431,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-20240dadassd5105-9251-441,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-20240ad5105-9251-451,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-202405asdsad105-9251-461,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-202405asdsad105-9251-471,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-20240sdsad5105-sad9251-411,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-202405asdd105-9251-421,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SIVM,1MAA-ZOM-A2B-QBXSHO-SIVM-20240sda5105-9251-431,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-202405adasd105-9251-441,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,SMBR,1MAA-ZOM-A2B-QBXSHO-SMBR-202405asd105-9251-451,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-202405adasd105-9251-471,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-202405qqewqeqw105-9251-411,LUNCH,20250210
QBXNGM,a2bMntRd,ZOM,1,1,ZOMATO_67350,PASTA,1MAA-ZOM-A2B-QBXSHO-PASTA-202405asdd105-9251-421,LUNCH,20250210
