qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SIVM,1MAA-ZOM-A2B-SIVM-202405105-951-323,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SIVM,1MAA-ZOM-A2B-SIVM-202405105-951-324,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SIVM,1MAA-ZOM-A2B-SIVM-202405105-951-325,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SIVM,1MAA-ZOM-A2B-SIVM-202405105-951-326,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SIVM,1MAA-ZOM-A2B-SIVM-202405105-951-327,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SIVM,1MAA-ZOM-A2B-SIVM-202405105-951-328,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SIVM,1MAA-ZOM-A2B-SIVM-202405105-951-329,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-330,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-331,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-332,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-333,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-334,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-335,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-336,LUNCH,20250221
QBXT20,a2bMntRd,ZOM,1,1,ZOMATO_673561751,SMBR,1MAA-ZOM-A2B-SIVM-202405105-951-337,LUNCH,20250221
